Raag,Aaroh_Avaroh,LyricalNote,Sequence,Absolute Sequence
Yaman,Aaroh,R',101,27
Yaman,Aaroh,G',102,29
Yaman,Aaroh,M',103,31
Yaman,Aaroh,P',104,32
Yaman,Aaroh,D',105,34
,,,,
,,,,
,,,,
Yaman,Avaroh,N.,101,12
Yaman,Avaroh,D.,102,10
Yaman,Avaroh,P.,103,8
Yaman,Avaroh,M.,104,7
Yaman,Avaroh,G.,105,5
,,,,
,,,,
,,,,
Bilawal,Aaroh,R',101,27
Bilawal,Aaroh,G',102,29
Bilawal,Aaroh,m',103,30
Bilawal,Aaroh,P',104,32
Bilawal,Aaroh,D',105,34
,,,,
,,,,
,,,,
Bilawal,Avaroh,N.,101,12
Bilawal,Avaroh,D.,102,10
Bilawal,Avaroh,P.,103,8
Bilawal,Avaroh,m.,104,6
Bilawal,Avaroh,G.,105,5
,,,,
,,,,
,,,,
Bhoopali,Aaroh,R',101,27
Bhoopali,Aaroh,G',102,29
Bhoopali,Aaroh,P',103,32
Bhoopali,Aaroh,D',104,34
Bhoopali,Aaroh,#N/A,105,37
,,,,
Bhoopali,Avaroh,D.,101,10
Bhoopali,Avaroh,P.,102,8
Bhoopali,Avaroh,G.,103,5
Bhoopali,Avaroh,R.,104,3
Bhoopali,Avaroh,S.,105,1
,,,,
Vibhas,Aaroh,r',101,26
Vibhas,Aaroh,G',102,29
Vibhas,Aaroh,P',103,32
Vibhas,Aaroh,d',104,33
Vibhas,Aaroh,#N/A,105,37
,,,,
Vibhas,Avaroh,d.,101,9
Vibhas,Avaroh,P.,102,8
Vibhas,Avaroh,G.,103,5
Vibhas,Avaroh,r.,104,2
Vibhas,Avaroh,S.,105,1
,,,,
Bhupeshwari,Aaroh,R',101,27
Bhupeshwari,Aaroh,G',102,29
Bhupeshwari,Aaroh,P',103,32
Bhupeshwari,Aaroh,d',104,33
Bhupeshwari,Aaroh,#N/A,105,37
,,,,
Bhupeshwari,Avaroh,d.,101,9
Bhupeshwari,Avaroh,P.,102,8
Bhupeshwari,Avaroh,G.,103,5
Bhupeshwari,Avaroh,R.,104,3
Bhupeshwari,Avaroh,S.,105,1
,,,,
Shivranjini,Aaroh,R',101,27
Shivranjini,Aaroh,g',102,28
Shivranjini,Aaroh,P',103,32
Shivranjini,Aaroh,D',104,34
Shivranjini,Aaroh,#N/A,105,37
,,,,
Shivranjini,Avaroh,D.,101,10
Shivranjini,Avaroh,P.,102,8
Shivranjini,Avaroh,g.,103,4
Shivranjini,Avaroh,R.,104,3
Shivranjini,Avaroh,S.,105,1
,,,,
Khamaj,Aaroh,G',101,29
Khamaj,Aaroh,m',102,30
Khamaj,Aaroh,P',103,32
Khamaj,Aaroh,D',104,34
Khamaj,Aaroh,N',105,36
,,,,
,,,,
Khamaj,Avaroh,n.,101,11
Khamaj,Avaroh,D.,102,10
Khamaj,Avaroh,P.,103,8
Khamaj,Avaroh,m.,104,6
Khamaj,Avaroh,G.,105,5
,,,,
,,,,
,,,,
Bhairav,Aaroh,r',101,26
Bhairav,Aaroh,G',102,29
Bhairav,Aaroh,m',103,30
Bhairav,Aaroh,P',104,32
Bhairav,Aaroh,d',105,33
,,,,
,,,,
,,,,
Bhairav,Avaroh,N.,101,12
Bhairav,Avaroh,d.,102,9
Bhairav,Avaroh,P.,103,8
Bhairav,Avaroh,m.,104,6
Bhairav,Avaroh,G.,105,5
,,,,
,,,,
,,,,
Bhairavi,Aaroh,r',101,26
Bhairavi,Aaroh,g',102,28
Bhairavi,Aaroh,m',103,30
Bhairavi,Aaroh,P',104,32
Bhairavi,Aaroh,d',105,33
,,,,
,,,,
,,,,
Bhairavi,Avaroh,n.,101,11
Bhairavi,Avaroh,d.,102,9
Bhairavi,Avaroh,P.,103,8
Bhairavi,Avaroh,m.,104,6
Bhairavi,Avaroh,g.,105,4
,,,,
,,,,
,,,,
Malkauns,Aaroh,g',101,28
Malkauns,Aaroh,m',102,30
Malkauns,Aaroh,d',103,33
Malkauns,Aaroh,n',104,35
Malkauns,Aaroh,#N/A,105,37
,,,,
Malkauns,Avaroh,n.,101,11
Malkauns,Avaroh,d.,102,9
Malkauns,Avaroh,m.,103,6
Malkauns,Avaroh,g.,104,4
Malkauns,Avaroh,S.,105,1
,,,,
Charukeshi,Aaroh,R',101,27
Charukeshi,Aaroh,G',102,29
Charukeshi,Aaroh,m',103,30
Charukeshi,Aaroh,P',104,32
Charukeshi,Aaroh,d',105,33
,,,,
,,,,
,,,,
Charukeshi,Avaroh,n.,101,11
Charukeshi,Avaroh,d.,102,9
Charukeshi,Avaroh,P.,103,8
Charukeshi,Avaroh,m.,104,6
Charukeshi,Avaroh,G.,105,5
,,,,
,,,,
,,,,
Bihag,Aaroh,G',101,29
Bihag,Aaroh,m',102,30
Bihag,Aaroh,P',103,32
Bihag,Aaroh,N',104,36
Bihag,Aaroh,#N/A,105,37
,,,,
Bihag,Avaroh,N.,101,12
Bihag,Avaroh,D.,102,10
Bihag,Avaroh,P.,103,8
Bihag,Avaroh,M.,104,7
Bihag,Avaroh,G.,105,5
,,,,
,,,,
,,,,
,,,,
,,,,
Bhimpalasi,Aaroh,g',101,25
Bhimpalasi,Aaroh,m',102,28
Bhimpalasi,Aaroh,P',103,30
Bhimpalasi,Aaroh,n',104,32
,,,,
,,,,
,,,,
Bhimpalasi,Avaroh,n.,101,11
Bhimpalasi,Avaroh,D.,102,10
Bhimpalasi,Avaroh,P.,103,8
Bhimpalasi,Avaroh,m.,104,6
Bhimpalasi,Avaroh,g.,105,4
,,,,
,,,,
,,,,
Todi,Aaroh,r',101,26
Todi,Aaroh,g',102,28
Todi,Aaroh,M',103,31
Todi,Aaroh,P',104,32
Todi,Aaroh,d',105,33
,,,,
,,,,
,,,,
Todi,Avaroh,N.,101,12
Todi,Avaroh,d.,102,9
Todi,Avaroh,P.,103,8
Todi,Avaroh,M.,104,7
Todi,Avaroh,g.,105,4
,,,,
,,,,
,,,,
Keerwani,Aaroh,R',101,27
Keerwani,Aaroh,g',102,28
Keerwani,Aaroh,m',103,30
Keerwani,Aaroh,P',104,32
Keerwani,Aaroh,d',105,33
,,,,
,,,,
,,,,
Keerwani,Avaroh,N.,101,12
Keerwani,Avaroh,d.,102,9
Keerwani,Avaroh,P.,103,8
Keerwani,Avaroh,m.,104,6
Keerwani,Avaroh,g.,105,4
,,,,
,,,,
,,,,
AhirBhairav,Aaroh,r',101,26
AhirBhairav,Aaroh,G',102,29
AhirBhairav,Aaroh,m',103,30
AhirBhairav,Aaroh,P',104,32
AhirBhairav,Aaroh,D',105,34
,,,,
,,,,
,,,,
AhirBhairav,Avaroh,n.,101,11
AhirBhairav,Avaroh,D.,102,10
AhirBhairav,Avaroh,P.,103,8
AhirBhairav,Avaroh,m.,104,6
AhirBhairav,Avaroh,G.,105,5
,,,,
,,,,
,,,,
Rageshree,Aaroh,G',101,29
Rageshree,Aaroh,m',102,30
Rageshree,Aaroh,D',103,34
Rageshree,Aaroh,n',104,35
Rageshree,Aaroh,#N/A,105,37
,,,,
Rageshree,Avaroh,n.,101,11
Rageshree,Avaroh,D.,102,10
Rageshree,Avaroh,m.,103,6
Rageshree,Avaroh,G.,104,5
Rageshree,Avaroh,m.,105,6
,,,,
,,,,
,,,,
